time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577836979.89944291,0.00652513,0.00452988,-nan,2891.00000000,0.00652513,0.000000,0.000000
1577836979.99928021,0.00644876,0.00532015,-nan,5776.00000000,0.00637239,0.000000,0.000000
1577836980.09991503,0.00623491,0.00468731,-nan,5314.00000000,0.00580722,0.000000,0.000000
1577836980.19976902,0.00596278,0.00406697,-nan,5547.00000000,0.00514638,0.000000,0.000000
1577836980.29959798,0.00575035,0.00387560,-nan,6033.00000000,0.00490060,0.000000,0.000000
1577836980.39945602,0.00816350,0.00327727,0.00000349,6356.00000000,0.02022925,0.000000,0.000000
1577836980.49929190,0.00988867,0.00301508,0.00000342,6527.00000000,0.02023973,0.000000,0.000000
1577836980.59993601,0.01101648,0.00351899,0.00000332,6716.00000000,0.01891112,0.000000,0.000000
1577836980.69978285,0.01169173,0.00279585,0.00000324,7087.00000000,0.01709369,0.000000,0.000000
1577836980.79962015,0.01231549,0.00269367,0.00000329,7328.00000000,0.01792936,0.000000,0.000000
1577836980.89947104,0.01312785,0.00331254,0.00000348,7626.00000000,0.02125146,0.000000,0.000000
1577836980.99931002,0.01344119,0.00251312,0.00000339,7771.00000000,0.01688794,0.000000,0.000000
1577836981.09994102,0.01386631,0.00269723,0.00000324,7929.00000000,0.01896770,0.000000,0.000000
1577836981.19979382,0.01412245,0.00271734,0.00000309,7923.00000000,0.01745233,0.000000,0.000000
1577836981.29963589,0.01436833,0.00281505,0.00000349,7431.00000000,0.01781069,0.000000,0.000000
1577836981.39946699,0.01455182,0.00283573,0.00000314,7729.00000000,0.01730406,0.000000,0.000000
1577836981.49928093,0.01478461,0.00239439,0.00000353,7948.00000000,0.01850932,0.000000,0.000000
1577836981.59990597,0.01485554,0.00241758,0.00000342,8152.00000000,0.01606136,0.000000,0.000000
1577836981.69974613,0.01503756,0.00215456,0.00000341,8240.00000000,0.01831384,0.000000,0.000000
1577836981.79958701,0.01516174,0.00243979,0.00000354,8404.00000000,0.01752120,0.000000,0.000000
1577836981.89942408,0.01525747,0.00222999,0.00000319,8451.00000000,0.01717206,0.000000,0.000000
1577836981.99967408,0.01548327,0.00284404,0.00000353,8600.00000000,0.02022499,0.000000,0.000000
1577836982.09952784,0.01560907,0.00284606,0.00000356,8778.00000000,0.01837676,0.000000,0.000000
1577836982.19936800,0.01564473,0.00231526,0.00000352,8891.00000000,0.01646491,0.000000,0.000000
1577836982.29959989,0.01562071,0.00219737,0.00000315,9027.00000000,0.01504418,0.000000,0.000000
1577836982.39944696,0.01577768,0.00303366,0.00000345,9148.00000000,0.01970195,0.000000,0.000000
1577836982.49928904,0.01588088,0.00285284,0.00000359,9202.00000000,0.01856422,0.000000,0.000000
1577836982.59992814,0.01590820,0.00262376,0.00000348,9310.00000000,0.01664580,0.000000,0.000000
1577836982.69975495,0.01605875,0.00256586,0.00000362,9396.00000000,0.02027416,0.000000,0.000000
1577836982.79959297,0.01620452,0.00273355,0.00000383,9404.00000000,0.02043172,0.000000,0.000000
1577836982.89940095,0.01632349,0.00272014,0.00000360,9247.00000000,0.01989275,0.000000,0.000000
1577836982.99963403,0.01638211,0.00269025,0.00000362,9367.00000000,0.01819922,0.000000,0.000000
1577836983.09945488,0.01646531,0.00286310,0.00000380,9409.00000000,0.01912784,0.000000,0.000000
1577836983.19928408,0.01657249,0.00297660,0.00000383,9465.00000000,0.02010933,0.000000,0.000000
1577836983.29990602,0.01671950,0.00343364,0.00000390,9542.00000000,0.02171787,0.000000,0.000000
1577836983.39974904,0.01682079,0.00297527,0.00000379,9573.00000000,0.02036586,0.000000,0.000000
1577836983.49958205,0.01687154,0.00292436,0.00000393,9616.00000000,0.01869873,0.000000,0.000000
1577836983.59942985,0.01686210,0.00227294,0.00000344,9676.00000000,0.01651254,0.000000,0.000000
1577836983.69966316,0.01696659,0.00292526,0.00000384,9732.00000000,0.02093724,0.000000,0.000000
1577836983.79950500,0.01701690,0.00308171,0.00000346,9797.00000000,0.01897908,0.000000,0.000000
